Genome	Adenine	L-arabinose	D-cellobiose	D-Galactose	D-Glucosamine	D-Glucose	D-Mannitol	D-Trehalose	cystine	L-cysteine	L-histidine	deoxyinosine	deoxyribose	Ethanol	fructose	glycerol	glycine	L-Alanine	L-Arginine	L-Asparagine	L-Citrulline	L-Glutamine	L-Isoleucine	L-Leucine	L-Lysine	L-Methionine	L-Phenylalanine	L-Proline	L-Serine	L-Threonine	L-Tryptophan	L-tyrosine	L-Valine	lactose	myo-inositol	maltose	mannose	Methanol	N-Acetyl-D-Glucosamine	putrescine	salicin	L-fucose	p-hydroxybenzoate	ferulate	trehalose	sucrose
FW305-16.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0
FW305-17.genome	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0
FW305-20.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FW305-24.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	1
FW305-25.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FW305-26.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FW305-27.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FW305-28.genome	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0
FW305-3-2-15-A-LB1.genome	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FW305-3-2-15-A-R2A2.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FW305-3-2-15-A-TSA1.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FW305-3-2-15-A-TSA3.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FW305-3-2-15-B-LB1.genome	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
FW305-3-2-15-C-LB2.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FW305-3-2-15-E-R2A2.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FW305-3-2-15-F-LB2.genome	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FW305-3-2-15-F-LB3.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
FW305-3-2-15-F-R2A4.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FW305-32.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0
FW305-34.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FW305-36.genome	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1
FW305-42.genome	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0
FW305-46.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FW305-47B.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FW305-50.genome	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0
FW305-51.genome	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
FW305-53.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0
FW305-55.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FW305-56.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0
FW305-62.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0
FW305-67.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0
FW305-7.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FW305-77.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FW305-90.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FW305-96.genome	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0
FW305-BF8.genome	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0
FW305-C-101.genome	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FW305-C-111.genome	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FW305-C-112.genome	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1
FW305-C-13.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FW305-C-134A.genome	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FW305-C-21.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FW305-C-271.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FW305-C-272.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FW305-C-28.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FW305-C-3.genome	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FW305-C-49.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FW305-C-57.genome	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
FW305-C-60.genome	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FW305-E2.genome	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
FW306-01-1C-F10C.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FW306-02-F02-AA.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FW306-02-F02-AB.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	1	0
FW306-02-F04-AA.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	1	0
FW306-02-F04-BA.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FW306-02-F08-AA.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	1	0
FW306-02-H05-AA.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	1	0
FW306-02-H05-AB.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	1	0
FW306-02-H05-BA.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FW306-02-H06B.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FW306-02-H06C.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	1	0
FW306-04-A.genome	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	1
FW306-05-C.genome	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0
FW306-05-D.genome	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1
FW306-1B-B10D.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FW306-1B-B10E.genome	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
FW306-1B-D06B.genome	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
FW306-1B-F04DB.genome	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1
FW306-1B-F12A.genome	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FW306-1B-G06A.genome	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FW306-1C-G01A.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FW306-2-11AA.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FW306-2-11AB.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FW306-2-11AC.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	1	0
FW306-2-11AD.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	1	0
FW306-2-11BA.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FW306-2-1A-C05A.genome	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
FW306-2-2C-A10BC.genome	0	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1
FW306-2-2C-B10A.genome	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FW306-2-2C-D06B.genome	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FW306-2-2C-D06C.genome	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FW507-14D01.genome	0	1	0	1	1	1	1	1	0	0	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0
FW507-4G11.genome	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0
FW507-F1.genome	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
FW510-R12.genome	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
FW510-T9.genome	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0
GP01-A1.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
