feature_ids	Ath_WT_R1_expression	Ath_WT_R2_expression	Ath_hy5_R1_expression	Ath_hy5_R2_expression
AT3G13870	2.9518787130823836	3.46265823745295	4.932782547524315	5.699915671314361
AT2G43810	5.25613900076486	5.7860159961445286	2.546289606751762	3.8527771451082717
AT1G21110	4.5532478778112875	4.434125388123993	1.5041819559876033	2.1568877198672416
AT5G04290	2.971908227127055	2.9702476744524238	4.940932481760977	5.076641522890677
AT1G79280	0.406718924637786	0.32854066594851306	1.9316179756746916	3.1252426004134195
AT1G04300	2.3180000192656336	1.4288731735153026	4.216318461012324	4.327720811098552
AT5G45680	7.004574354074979	6.9774372033955245	4.833320637684367	5.159875144387565
AT4G02710	0.0	0.5607001174418177	2.4808082602017976	2.4616763865713
AT3G44070	0.0	0.0	3.9761168991857154	4.682834519844952
AT1G72050	2.006856198120163	2.2855983958591595	3.6659673241477977	4.515851798184495
AT2G42570	4.931634554646741	4.63205590637943	1.7329354798291685	3.2907577692581222
AT5G51200	0.6227711852299751	1.0889521482230329	2.7023686334662567	2.886053988952677
AT1G28200	6.367788599515214	6.101613894034461	4.138179230978491	4.053645385037674
AT5G05060	4.878119595803673	4.778968918277462	0.0	1.788320962441405
AT3G15120	1.3315477549988772	1.4390774124023231	3.071909514828132	2.981264401057988
AT5G61040	0.0	0.0	2.077465442435525	2.298622624061147
AT2G18230	1.6363993608105039	1.937660284761468	3.9614809411181398	4.847315198526642
AT2G35630	1.219235439866251	0.9473055883638317	2.781456428040316	3.2505012244384717
AT1G67230	2.550970267758295	2.1359348794016535	4.718813275768668	4.931316719706828
AT4G14760	0.3616552117986651	0.6887607480903557	2.7127677268758874	2.692169562271518
AT5G08040	7.171943082968407	7.288184288008773	4.8291284883287675	5.480429047998601
AT2G05915	0.0	0.0	6.355415909083567	6.3942906514839395
AT3G20550	1.7086216751163472	2.8588609342131472	4.226666339001118	4.756329197639653
AT5G41370	1.2423615661947733	1.8412827988624993	3.6790155036441665	3.411380893488998
AT5G22760	1.5434065546565907	0.8747496630438709	2.89417949392201	3.0986673155787265
AT1G02300	0.0	0.0	3.6036133348898147	2.5229034383282447
AT5G13900	5.206452060819083	4.903553552667032	0.0	0.0
AT1G04850	2.6312871712472194	1.7828549072387478	5.152275138694147	4.511099800629786
AT5G35660	0.0	0.0	3.900659154752538	4.243240928120576
AT3G55240	5.639916119963065	5.789515228654198	3.2202968814618536	3.72962032866543
AT1G14460	1.0126285175419643	1.1557909896313576	2.8450644428923604	3.1005851770285613
AT3G47295	7.504906190334089	7.562310546639722	4.9712632647477975	5.999845223360757
AT2G28290	1.1542112663714785	1.2807407713603085	3.5016566760833903	3.5583516334692855
AT1G22060	1.32474204866056	0.8259050571887937	2.5533836326709722	2.580267165968403
AT5G09880	3.170010116289809	2.6292069657744506	5.42945233840435	5.670713959308564
AT4G16990	4.06507928496896	3.594570023085585	6.114605124869312	5.789023717267144
AT5G22620	1.67034328802077	0.8963912436666172	4.049429690274433	4.270142956973741
AT3G19650	2.3507094350916637	2.316714857652681	4.286066582993718	4.622560148316302
AT4G02110	0.0	0.0	1.875634615736133	2.037172133780487
AT5G44572	3.5884159530647812	2.6603014961353426	0.0	0.0
AT4G37560	1.201947409811892	0.0	3.6395933907340536	3.9074915550277924
AT1G53541	8.026459023187146	7.87625222786478	5.614052601320948	5.7284070332565085
AT3G22231	0.0	2.648594007642386	6.897758341337792	6.7265608525525895
AT1G09980	0.5450530756657197	0.0	2.770489334511637	2.6884820115112857
AT2G48120	0.0	0.0	2.6016543922482156	4.229828209146537
AT5G04080	5.2259533046464774	5.131745368798809	0.0	0.0
AT1G26390	0.0	0.0	3.261273289820202	3.8855319672215747
AT5G47490	1.1481834382777978	1.5358975090428357	2.961952478115441	2.9868904847430207
AT1G48090	0.9323886165943726	0.482754238013787	2.6406994206085055	2.920409509643659
AT5G38150	2.040841151382216	1.5883124413891108	3.76016747404668	4.276703356740724
AT1G79560	1.7762428353602946	2.5607062261076567	4.168122876130775	4.065539776624719
AT3G49601	3.101760417414426	3.04366424833701	5.459637060722572	5.724252456083247
AT4G27180	1.6373683848555896	0.872523771395892	3.88565016420114	4.173673671123822
AT1G31020	2.603079564178617	4.097743472227562	0.0	0.0
AT5G56940	6.583878489154184	6.510292362953565	4.39264100805049	4.729350304944046
AT4G32190	1.9755613513075567	2.4340938718984355	3.9683090381345805	4.5467462237368395
AT5G47820	2.4697507046615352	1.512004112672448	4.036358721779808	4.380946311586951
AT5G55300	0.8750531453097419	1.282796549982757	3.657116821241221	3.1047207768024427
AT1G79690	0.0	0.0	3.9624148141841324	3.2593472036209157
AT1G17360	1.0569534567500396	1.1243597776702867	2.8613740575880806	3.506803512095923
AT4G17790	4.71114474349176	3.61561098038688	2.1608782018708834	1.5873761054010684
AT5G52300	0.0	0.0	2.6558937374282157	1.871682827974328
AT1G75310	0.938898797241743	0.6867367916554293	2.6973291691357355	2.5179215798061607
AT3G21430	0.0	0.0	1.5711610933913103	2.0055853864261337
AT1G10320	0.9591990059478707	0.0	4.3387260834681065	4.272126628075641
AT1G01040	1.337136658536777	1.4164490269349115	3.120364705059715	3.4505782629619772
